Name,Logo,Teaser,Sector,Company Stage,Business Model,Customer Focus,Founding Year,Team Size,Handelsregister,Headquarter,Official Website,On Social Media,Legal Entity,About,Members
COSI Hospitality,https://cdn.startbase.com/images/company/cosi-hospitality/b63dce8f84/?w=205&h=64,Founding of a hotel chain which is completely digitalized.,Tourism,Startup Stage,SaaS,B2C,2019,11-50 Employees,Found,"Berlin, DE",cosi-group.com,"['http://www.linkedin.com/company/cosi-hospitality-group/', 'https://www.facebook.com/COSI-Hospitality-GmbH-115305179914686/']",COSI Hospitality GmbH,,{'Christian Gaiser': 'Founder'}
Power & Storage LiTec,https://cdn.startbase.com/images/company/power-storage-litec/02b8b9434f/?w=205&h=64,Offering batteries and power storage for solar and other systems.,Energy & Electricity,Startup Stage,Retail / E-Commerce,B2C,2020,1-10 Employees,Found,"Hünfelden, DE",power-and-storage.de,[],Power & Storage LiTec GmbH,,{'Bernd Stock': 'Founder'}
Eat the World,https://cdn.startbase.com/images/d2a9a2c3559656d9ec11c82d26ea334f/9f14ca93982f0e9/?w=205&h=64,,Tourism,Steady Stage,Sale of Services,B2C,2008,51-100 Employees,Found,"Berlin, DE",eat-the-world.com,"['https://www.instagram.com/eattheworld_foodtour/', 'https://www.linkedin.com/company/eat-the-world-gmbh/', 'https://www.facebook.com/eat.the.world.FoodTours']",Eat the World GmbH,,"{'Elke Freimuth': 'Founder', 'Katrin Buck': 'Founder'}"
VCTRY,https://cdn.startbase.com/images/company/vctry-esports/2c230667cc/?w=205&h=64,Platform for eSport tournaments with prize money in various games.,Sports & Amusement/Gaming incl. Online,Seed Stage,Platform,B2C,2020,1-10 Employees,Found,"Celle, DE",vctry.gg,"['https://www.instagram.com/vctrygg/', 'https://www.linkedin.com/company/vctry-esports', 'https://www.facebook.com/VCTRYGG/']",VCTRY Esports GmbH,,"{'Christopher Young': 'Founder', 'Christian Polensky': 'Founder'}"
zoo24,https://cdn.startbase.com/images/company/zoo24/e33e9e5400/?w=205&h=64,Online shop for pet supplies.,Other,Startup Stage,Retail / E-Commerce,B2C,2012,1-10 Employees,Not found,"Münster, DE",zoo24.de,"['https://twitter.com/zoo24de', 'http://www.linkedin.com/company/zoo24-gmbh/', 'https://www.facebook.com/zoo24/?ref=page_internal']",zoo24 GmbH,,{'Dieter Peter Büchl': 'Founder'}
Fundsy,https://cdn.startbase.com/images/company/fundsy/9f52ccbb8e/?w=205&h=64,"Online School-Banking for planning school trips, events or day trips.",Finance & Insurance,Seed Stage,Platform,B2C,2020,1-10 Employees,Found,"Schönwalde-Glien, DE",fundsy.de,[],Fundsy UG,,{'Axel Schulz': 'Founder'}
Edkon Games,https://cdn.startbase.com/images/company/edkon-games/6684747275/?w=205&h=64,Gaming development company speicalized on mobile shooter games.,Sports & Amusement/Gaming incl. Online,Startup Stage,Other,B2C,2017,11-50 Employees,Found,"Berlin, DE",edkongames.com,"['https://www.linkedin.com/company/edkon-games', 'https://www.youtube.com/channel/UCtVNQDXXPifEsXpYilxVWcA', 'https://www.facebook.com/ModernOpsFPS/']",Edkon Games GmbH,,{'Konstantin Shapiro': 'Founder'}
CoupoRando,https://cdn.startbase.com/images/company/couporando/fd726e794e/?w=205&h=64,Portal for vouchers and coupons from online stores.,Finance & Insurance,Startup Stage,Platform,B2C,2014,51-100 Employees,Found,"Berlin, DE",couporando.de,"['https://twitter.com/CoupoRandoDE', 'https://www.linkedin.com/company/couporando-uk/', 'https://www.facebook.com/CoupoRandoDE']",CoupoRando GmbH,,{'Christopher Steven Kasprzak': 'Founder'}
META Games,https://cdn.startbase.com/images/company/meta-games/65d304034d/?w=205&h=64,Building mobile games for Esports fans.,Sports & Amusement/Gaming incl. Online,Startup Stage,SaaS,B2C,2017,11-50 Employees,Found,"Berlin, DE",metagames.gg,"['https://www.linkedin.com/company/metagames-gg', 'http://www.facebook.com/MetaGamesStudio']",META Games GmbH,,{'Alexander Fuhrmann': 'Founder'}
Eyeo,https://cdn.startbase.com/images/0b4900bf53812ffff4566d92869d0de3/de42da5313778e2/?w=205&h=64,,IT and Communications,Growth Stage,Other,B2C,2011,51-100 Employees,Found,"Köln, DE",eyeo.com,"['https://www.instagram.com/_eyeo/', 'https://twitter.com/eyeo', 'https://www.linkedin.com/company/eyeo-gmbh/', 'https://www.youtube.com/channel/UCwSk3CywR4ZosXXuTT6cElg', 'https://www.facebook.com/EyeoGmbH']",Eyeo GmbH,,"{'Till Faida': 'Founder', 'Wladimir Palant': 'Founder'}"
iFactory3D,https://cdn.startbase.com/images/company/ifactory3d/834b7221dd/?w=205&h=64,"Offering fully-automated 3D-printers that are monitored, remote and efficient.",Industrial & Basic Materials,Seed Stage,Retail / E-Commerce,B2C,2020,1-10 Employees,Found,"Düsseldorf, DE",ifactory.webmate.ro,"['https://www.instagram.com/ifactory3d_one/', 'https://www.linkedin.com/company/ifactory3d/', 'https://www.xing.com/companies/ifactory3d', 'https://www.facebook.com/iFactory3D-108832677560159']",iFactory3D GmbH,,{'Artur Steffen': 'Founder'}
Magnific Games,https://cdn.startbase.com/images/company/mg-magnific-games/6d6bf851bd/?w=205&h=64,Game studio for multiplayer online games for mobile devices.,Sports & Amusement/Gaming incl. Online,Startup Stage,Other,B2C,2017,1-10 Employees,Found,"Berlin, DE",magnificgames.com,['https://www.linkedin.com/company/magnific-games/'],MG Magnific Games,,"{'Andreas Wolff': 'Founder', 'Dr. Stefan Zopf': 'Founder', 'Johann Paul Caron': 'Founder'}"
Asystole,https://cdn.startbase.com/images/64d1e559cfefe644e776ef12b1b99019/eedf8cb3ed69ded/?w=205&h=64,Card game for medical students to learn study content.,Sports & Amusement/Gaming incl. Online,Seed Stage,Retail / E-Commerce,B2C,2020,1-10 Employees,Found,"Berlin, DE",keinediagnosedurchhemdundhose.de,[],luujuu UG,,"{'Dr. Sven Jungmann': 'Founder', 'Tomasz Bilakiewicz': 'Founder', 'Dr. Johanna Ludwig': 'Founder'}"
